,card__title,card__title 2,card__facility-address,text,text 2,text 3
0,"Mitchell Bernsen, M.D.","Gastroenterologist
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
1,"Jennifer Cahill, MD","Gastroenterologist
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
2,"Kristin S. Finke, ANP-C","Advanced Nurse Practitioner
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
3,"Adam Gluskin, M.D.","Gastroenterologist
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
4,"Bruce Greenberg, M.D.","Gastroenterologist
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
5,"Mitchell Kaplan, M.D.","Gastroenterologist
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
6,"David J. Kim, M.D.","Gastroenterologist
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
7,"Joel Lattin, D.O.","Gastroenterologist
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
8,"Erin LeBreton, FNP-C","Family Nurse Practitioner
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
9,"Amy McKenney, FNP-C","Family Nurse Practitioner
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
10,"Samantha Melroy, ANP-C","Advanced Nurse Practitioner
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
11,"Patricia Sun, M.D.","Gastroenterologist
in Arlington Heights, IL",1415 S Arlington Heights Rd,"Arlington Heights,",IL,60005
12,"Douglas Adler, M.D.","Gastroenterologist
in Glenview, IL",2501 Compass Rd,"Glenview,",IL,60026
13,"Ronald Bloom, M.D.","Gastroenterologist
in Glenview, IL",2501 Compass Rd,"Glenview,",IL,60026
14,"Kenneth Chi, M.D.","Gastroenterologist
in Glenview, IL",2501 Compass Rd,"Glenview,",IL,60026
15,"Meghana Doniparthi, M.D.","Gastroenterologist
in Glenview, IL",2501 Compass Rd,"Glenview,",IL,60026
16,"Jeffrey Jacobs, M.D.","Gastroenterologist
in Glenview, IL",2501 Compass Rd,"Glenview,",IL,60026
17,"Nina Merel, M.D.","Gastroenterologist
in Glenview, IL",2501 Compass Rd,"Glenview,",IL,60026
18,"Baseer Qazi, M.D.","Gastroenterologist
in Glenview, IL",2501 Compass Rd,"Glenview,",IL,60026
19,"Alan Shapiro, M.D.","Gastroenterologist
in Glenview, IL",2501 Compass Rd,"Glenview,",IL,60026
20,"Kevin Liebovich, M.D.","Gastroenterologist

in Highland Park, IL",806 Central Ave,"Highland Park,",IL,60035
21,"Jonathan M.D. Rosenberg, M.D.","Gastroenterologist

in Highland Park, IL",806 Central Ave,"Highland Park,",IL,60035
22,"Jennifer Spanier-Stiasny, D.O.","Gastroenterologist

in Highland Park, IL",806 Central Ave,"Highland Park,",IL,60035
