name,distance,moving_time,elapsed_time,gear_id,total_elevation_gain,type,sport_type,average_speed,max_speed,summary_polyline,start_date,timezone,elev_high,elev_low,average_heartrate,max_heartrate,average_cadence,moving_hours,moving_mins,elapsed_hours,elapsed_mins,total_moving_time,total_elapsed_time,average_pace
Afternoon Run,5.0055783647,49.25,49.25,g13553566,81.0,Run,Run,6.1,10.3,0,2024-02-04T19:02:55Z,(GMT-05:00) America/New_York,61.0,37.0,161.0,178.0,85.0,0.0,49.25,0.0,49.25,49.25,49.25,9:50
Morning Trail Run,6.1538719727,68.71666666666667,69.33333333333333,g14818970,229.0,Run,TrailRun,5.4,11.4,0,2024-02-03T13:15:11Z,(GMT-05:00) America/New_York,115.0,43.0,168.6,190.0,84.3,1.0,8.716666666666669,1.0,9.333333333333329,68.71666666666667,69.33333333333333,11:16
Afternoon Run,4.011571176,40.96666666666667,40.96666666666667,g13553566,61.0,Run,Run,5.9,8.7,0,2024-01-31T22:40:02Z,(GMT-05:00) America/New_York,64.0,21.0,159.5,176.0,84.7,0.0,40.96666666666667,0.0,40.96666666666667,40.96666666666667,40.96666666666667,10:13
Afternoon Hike,3.3774620705,86.31666666666666,99.1,g14818970,416.0,Hike,Hike,2.3,5.4,0,2024-01-30T20:57:06Z,(GMT-05:00) America/New_York,471.0,89.0,115.6,164.0,0.0,1.0,26.316666666666663,1.0,39.099999999999994,86.31666666666666,99.1,29:20
Morning Hike,3.6700656744,94.23333333333333,117.9,g15358748,319.0,Hike,Hike,2.3,7.8,0,2024-01-30T15:24:49Z,(GMT-05:00) America/New_York,524.0,374.0,102.6,160.0,0.0,1.0,34.233333333333334,1.0,57.900000000000006,94.23333333333333,117.9,32:07
Afternoon Hike,2.0205742178,45.31666666666667,50.916666666666664,g14818970,109.0,Hike,Hike,2.7,7.2,0,2024-01-29T19:21:42Z,(GMT-05:00) America/New_York,545.0,440.0,111.8,137.0,0.0,0.0,45.31666666666667,0.0,50.916666666666664,45.31666666666667,50.916666666666664,25:12
Morning Hike,4.2702479233,101.58333333333333,114.36666666666666,g14818970,350.0,Hike,Hike,2.5,7.4,0,2024-01-29T15:28:00Z,(GMT-05:00) America/New_York,557.0,349.0,120.4,161.0,0.0,1.0,41.58333333333333,1.0,54.36666666666666,101.58333333333333,114.36666666666666,26:47
Morning Run,4.0075944016000005,41.95,41.95,g13553566,81.0,Run,Run,5.7,8.9,0,2024-01-28T15:22:53Z,(GMT-05:00) America/New_York,60.0,10.0,157.4,176.0,85.6,0.0,41.95,0.0,41.95,41.95,41.95,10:28
Morning Run,8.0061789237,75.11666666666666,75.26666666666667,g13553566,68.0,Run,Run,6.4,10.7,0,2024-01-27T15:25:28Z,(GMT-05:00) America/New_York,44.0,5.0,168.1,179.0,85.0,1.0,15.11666666666666,1.0,15.266666666666666,75.11666666666666,75.26666666666667,9:24
Afternoon Run,4.0075944016000005,41.75,41.75,g13553566,52.0,Run,Run,5.8,8.9,0,2024-01-25T22:20:17Z,(GMT-05:00) America/New_York,59.0,24.0,157.8,176.0,82.7,0.0,41.75,0.0,41.75,41.75,41.75,10:25
Morning Run,4.0120061357,40.25,40.25,g13532642,71.0,Run,Run,6.0,9.6,0,2024-01-21T15:24:54Z,(GMT-05:00) America/New_York,55.0,30.0,160.7,174.0,86.5,0.0,40.25,0.0,40.25,40.25,40.25,10:02
Morning Run,7.5688580139,74.25,75.35,g13553566,174.0,Run,Run,6.1,8.7,0,2024-01-20T15:17:28Z,(GMT-05:00) America/New_York,85.0,12.0,166.0,177.0,86.2,1.0,14.25,1.0,15.349999999999994,74.25,75.35,9:57
Afternoon Run,4.0067244822,40.06666666666667,40.06666666666667,g13553566,65.0,Run,Run,6.0,8.1,0,2024-01-18T22:07:37Z,(GMT-05:00) America/New_York,52.0,19.0,158.0,174.0,85.1,0.0,40.06666666666667,0.0,40.06666666666667,40.06666666666667,40.06666666666667,9:60
Afternoon Run,4.0085885952,42.266666666666666,43.36666666666667,g13553566,61.0,Run,Run,5.7,8.1,0,2024-01-16T22:02:02Z,(GMT-05:00) America/New_York,66.0,26.0,153.1,164.0,84.9,0.0,42.266666666666666,0.0,43.36666666666667,42.266666666666666,43.36666666666667,10:49
Morning Run,4.005978837,41.53333333333333,41.7,g13532642,85.0,Run,Run,5.8,8.1,0,2024-01-14T15:38:28Z,(GMT-05:00) America/New_York,48.0,10.0,158.1,175.0,85.7,0.0,41.53333333333333,0.0,41.7,41.53333333333333,41.7,10:25
